PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,CONTINENT_NAME,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,Month
162354,10/29/2020,Asia,NPL,Nepal,October
312787,10/29/2020,Asia,ISR,Israel,October
2064,10/29/2020,Asia,YEM,Yemen,October
553,10/29/2020,Asia,TWN,Taiwan,October
61942,10/29/2020,Asia,JOR,Jordan,October
30,10/29/2020,Asia,TLS,Timor Leste,October
129024,10/29/2020,Asia,ARE,United Arab Emirates,October
11591,10/29/2020,Asia,MDV,Maldives,October
581824,10/28/2020,Asia,IRN,Iran,October
373144,10/28/2020,Asia,PHL,Philippines,October
58855,10/28/2020,Asia,JOR,Jordan,October
550,10/28/2020,Asia,TWN,Taiwan,October
41145,10/28/2020,Asia,AFG,Afghanistan,October
30,10/28/2020,Asia,TLS,Timor Leste,October
3759,10/28/2020,Asia,THA,Thailand,October
24,10/28/2020,Asia,LAO,Laos,October
63164,10/28/2020,Asia,PSE,Palestine,October
57276,10/28/2020,Asia,KGZ,Kyrgyzstan,October
66037,10/28/2020,Asia,UZB,Uzbekistan,October
10860,10/28/2020,Asia,TJK,Tajikistan,October
459908,10/28/2020,Asia,IRQ,Iraq,October
148037,10/28/2020,Asia,KAZ,Kazakhstan,October
91217,10/28/2020,Asia,CHN,China,October
340,10/28/2020,Asia,MNG,Mongolia,October
345,10/28/2020,Asia,BTN,Bhutan,October
401586,10/28/2020,Asia,BGD,Bangladesh,October
5528,10/28/2020,Asia,SYR,Syria,October
127624,10/28/2020,Asia,ARE,United Arab Emirates,October
312024,10/28/2020,Asia,ISR,Israel,October
80533,10/28/2020,Asia,BHR,Bahrain,October
8870,10/28/2020,Asia,LKA,Sri Lanka,October
131689,10/28/2020,Asia,QAT,Qatar,October
11567,10/28/2020,Asia,MDV,Maldives,October
73995,10/28/2020,Asia,LBN,Lebanon,October
47666,10/28/2020,Asia,MMR,Myanmar,October
160400,10/28/2020,Asia,NPL,Nepal,October
113820,10/28/2020,Asia,OMN,Oman,October
2064,10/28/2020,Asia,YEM,Yemen,October
396454,10/28/2020,Asia,IDN,Indonesia,October
57980,10/28/2020,Asia,SGP,Singapore,October
98116,10/28/2020,Asia,JPN,Japan,October
148,10/28/2020,Asia,BRN,Brunei Darussalam,October
26146,10/28/2020,Asia,KOR,South Korea,October
290,10/28/2020,Asia,KHM,Cambodia,October
7990322,10/28/2020,Asia,IND,India,October
345631,10/28/2020,Asia,SAU,Saudi Arabia,October
330200,10/28/2020,Asia,PAK,Pakistan,October
1172,10/28/2020,Asia,VNM,Vietnam,October
28640,10/28/2020,Asia,MYS,Malaysia,October
123092,10/28/2020,Asia,KWT,Kuwait,October
366208,10/28/2020,Asia,TUR,Turkey,October
46200,10/27/2020,Asia,MMR,Myanmar,October
113354,10/27/2020,Asia,OMN,Oman,October
2064,10/27/2020,Asia,YEM,Yemen,October
57973,10/27/2020,Asia,SGP,Singapore,October
342,10/27/2020,Asia,BTN,Bhutan,October
8413,10/27/2020,Asia,LKA,Sri Lanka,October
91175,10/27/2020,Asia,CHN,China,October
574856,10/27/2020,Asia,IRN,Iran,October
7946429,10/27/2020,Asia,IND,India,October
400251,10/27/2020,Asia,BGD,Bangladesh,October
24,10/27/2020,Asia,LAO,Laos,October
126234,10/27/2020,Asia,ARE,United Arab Emirates,October
455398,10/27/2020,Asia,IRQ,Iraq,October
392934,10/27/2020,Asia,IDN,Indonesia,October
148,10/27/2020,Asia,BRN,Brunei Darussalam,October
97498,10/27/2020,Asia,JPN,Japan,October
1169,10/27/2020,Asia,VNM,Vietnam,October
26043,10/27/2020,Asia,KOR,South Korea,October
41032,10/27/2020,Asia,AFG,Afghanistan,October
62046,10/27/2020,Asia,PSE,Palestine,October
3746,10/27/2020,Asia,THA,Thailand,October
5461,10/27/2020,Asia,SYR,Syria,October
363999,10/27/2020,Asia,TUR,Turkey,October
122317,10/27/2020,Asia,KWT,Kuwait,October
65765,10/27/2020,Asia,UZB,Uzbekistan,October
371630,10/27/2020,Asia,PHL,Philippines,October
55055,10/27/2020,Asia,JOR,Jordan,October
56738,10/27/2020,Asia,KGZ,Kyrgyzstan,October
288,10/27/2020,Asia,KHM,Cambodia,October
80533,10/27/2020,Asia,BHR,Bahrain,October
72186,10/27/2020,Asia,LBN,Lebanon,October
30,10/27/2020,Asia,TLS,Timor Leste,October
159830,10/27/2020,Asia,NPL,Nepal,October
345232,10/27/2020,Asia,SAU,Saudi Arabia,October
340,10/27/2020,Asia,MNG,Mongolia,October
27805,10/27/2020,Asia,MYS,Malaysia,October
550,10/27/2020,Asia,TWN,Taiwan,October
10819,10/27/2020,Asia,TJK,Tajikistan,October
147615,10/27/2020,Asia,KAZ,Kazakhstan,October
329375,10/27/2020,Asia,PAK,Pakistan,October
11532,10/27/2020,Asia,MDV,Maldives,October
131432,10/27/2020,Asia,QAT,Qatar,October
310851,10/27/2020,Asia,ISR,Israel,October
339,10/26/2020,Asia,MNG,Mongolia,October
80255,10/26/2020,Asia,BHR,Bahrain,October
7909959,10/26/2020,Asia,IND,India,October
44774,10/26/2020,Asia,MMR,Myanmar,October
131170,10/26/2020,Asia,QAT,Qatar,October
91151,10/26/2020,Asia,CHN,China,October
26565,10/26/2020,Asia,MYS,Malaysia,October
158089,10/26/2020,Asia,NPL,Nepal,October
62046,10/26/2020,Asia,PSE,Palestine,October
24,10/26/2020,Asia,LAO,Laos,October
25955,10/26/2020,Asia,KOR,South Korea,October
328602,10/26/2020,Asia,PAK,Pakistan,October
451707,10/26/2020,Asia,IRQ,Iraq,October
1168,10/26/2020,Asia,VNM,Vietnam,October
97074,10/26/2020,Asia,JPN,Japan,October
370028,10/26/2020,Asia,PHL,Philippines,October
389712,10/26/2020,Asia,IDN,Indonesia,October
147463,10/26/2020,Asia,KAZ,Kazakhstan,October
344875,10/26/2020,Asia,SAU,Saudi Arabia,October
2064,10/26/2020,Asia,YEM,Yemen,October
10776,10/26/2020,Asia,TJK,Tajikistan,October
3743,10/26/2020,Asia,THA,Thailand,October
11505,10/26/2020,Asia,MDV,Maldives,October
287,10/26/2020,Asia,KHM,Cambodia,October
56170,10/26/2020,Asia,KGZ,Kyrgyzstan,October
568896,10/26/2020,Asia,IRN,Iran,October
40833,10/26/2020,Asia,AFG,Afghanistan,October
53087,10/26/2020,Asia,JOR,Jordan,October
550,10/26/2020,Asia,TWN,Taiwan,October
57970,10/26/2020,Asia,SGP,Singapore,October
112932,10/26/2020,Asia,OMN,Oman,October
65480,10/26/2020,Asia,UZB,Uzbekistan,October
310148,10/26/2020,Asia,ISR,Israel,October
71390,10/26/2020,Asia,LBN,Lebanon,October
29,10/26/2020,Asia,TLS,Timor Leste,October
121635,10/26/2020,Asia,KWT,Kuwait,October
342,10/26/2020,Asia,BTN,Bhutan,October
148,10/26/2020,Asia,BRN,Brunei Darussalam,October
398815,10/26/2020,Asia,BGD,Bangladesh,October
5408,10/26/2020,Asia,SYR,Syria,October
